node_id,latitude,longitude,street_count,is_signal,avg_speed_limit,avg_road_weight
58056528,28.5593895,77.1710004,4,0,55.0,0.8
60890393,28.580619,77.1749531,4,0,44.0,0.6
175610054,28.569235,77.1931747,3,0,53.333333333333336,0.7666666666666666
246513647,28.5948392,77.1670798,3,0,43.333333333333336,0.6333333333333333
249782331,28.631635,77.2217092,4,0,35.0,0.475
249782337,28.6306928,77.2195322,3,0,36.666666666666664,0.5166666666666666
249782343,28.6318278,77.2175751,3,0,36.666666666666664,0.5166666666666666
249782349,28.63394,77.2176776,4,0,35.0,0.475
249783257,28.6341977,77.2225404,3,0,46.666666666666664,0.7000000000000001
249783291,28.6300832,77.2209174,3,0,50.0,0.75
249783293,28.6298938,77.2194853,4,1,47.5,0.7125
249783302,28.6314291,77.2167421,4,1,47.5,0.7125
249783308,28.6343031,77.2170406,4,0,47.5,0.7125
249783313,28.6355861,77.2188663,3,0,50.0,0.75
249783316,28.6357191,77.2198833,3,1,46.666666666666664,0.7000000000000001
249786848,28.6204248,77.2188628,3,0,50.0,0.75
249786894,28.6197235,77.2268125,3,0,46.666666666666664,0.7000000000000001
249786895,28.6195601,77.2268773,3,0,46.666666666666664,0.7000000000000001
249786899,28.6258484,77.2314813,3,0,50.0,0.75
249786900,28.6260271,77.2316293,3,0,50.0,0.75
249786902,28.6261047,77.2321199,3,0,46.666666666666664,0.7000000000000001
249786916,28.6107005,77.2340546,3,0,50.0,0.75
249786918,28.6095354,77.2313754,3,0,50.0,0.75
249786921,28.6109165,77.2281653,3,0,50.0,0.75
249791204,28.6137551,77.2122049,4,1,50.0,0.75
249791377,28.6095756,77.2303913,3,0,50.0,0.75
249791853,28.6102956,77.2291783,3,0,50.0,0.75
249791934,28.6190168,77.2094715,3,0,40.0,0.6
249823983,28.5559242,77.1756519,3,0,56.666666666666664,0.8166666666666668
249824093,28.5671142,77.1279067,4,0,57.5,0.8250000000000001
249824096,28.5675746,77.1272739,3,0,50.0,0.7000000000000001
250078355,28.5694201,77.2060532,4,0,50.0,0.7000000000000001
250078357,28.5717114,77.2090352,3,0,55.0,0.675
250078364,28.5515724,77.1696783,3,0,35.0,0.475
250102742,28.5972676,77.2232305,4,0,50.0,0.75
251685582,28.5378593,77.0921879,4,0,44.0,0.66
251685586,28.5356918,77.0912246,3,0,40.0,0.575
251691509,28.4894833,77.1387689,3,0,55.0,0.655
266378008,28.5247292,77.155435,4,1,50.0,0.725
266378046,28.527459,77.1506017,3,0,30.0,0.35
266807256,28.618953,77.191604,3,0,45.0,0.675
266807274,28.6218325,77.1952377,3,0,40.0,0.55
266807277,28.6237136,77.1993889,3,0,50.0,0.75
266809747,28.6060281,77.1874331,4,1,45.0,0.675
267075193,28.6160961,77.2317714,3,0,46.666666666666664,0.7000000000000001
267075194,28.6166789,77.2312989,3,0,35.0,0.5
267075196,28.6130207,77.2276662,3,1,50.0,0.75
267075198,28.6099506,77.2249129,3,0,50.0,0.75
267075227,28.6140115,77.2346634,3,0,50.0,0.75
267075233,28.6166453,77.2251165,3,0,46.666666666666664,0.7000000000000001
267086487,28.4927058,77.1464762,4,0,53.333333333333336,0.6966666666666667
267086490,28.4935713,77.1457139,3,0,40.0,0.6
267086491,28.4936865,77.1455482,3,0,33.333333333333336,0.45
267193160,28.6030931,77.19098,3,0,40.0,0.6
267193232,28.5904599,77.1732201,3,0,35.0,0.475
267193233,28.5914954,77.1750225,3,0,40.0,0.6
267193236,28.5937317,77.1768719,4,0,33.333333333333336,0.43333333333333335
267193237,28.5956006,77.177921,3,0,35.0,0.475
267193238,28.6007218,77.1820296,4,0,45.0,0.675
267193239,28.6001813,77.1836507,4,0,47.5,0.7125
267193242,28.5964748,77.183535,3,0,40.0,0.55
267193245,28.5910941,77.1809162,4,0,40.0,0.55
267193248,28.591771,77.1795032,3,0,30.0,0.35
267193250,28.5924177,77.1787549,3,0,30.0,0.35000000000000003
267193270,28.5900162,77.1808058,3,0,30.0,0.35
267193290,28.5966818,77.1865378,4,0,33.333333333333336,0.43333333333333335
267193295,28.590416,77.1807918,4,0,40.0,0.55
267193307,28.5867939,77.1893085,3,0,50.0,0.75
267193347,28.5797443,77.1988316,4,0,36.666666666666664,0.5166666666666667
267193355,28.5863858,77.1904958,4,0,36.666666666666664,0.48333333333333334
267193361,28.5841246,77.1877209,3,0,30.0,0.35000000000000003
267193383,28.5909826,77.1741939,4,0,35.0,0.475
267193390,28.5899279,77.177241,3,0,30.0,0.35
267193394,28.5913411,77.1791325,3,0,30.0,0.35
267196276,28.6134521,77.2184671,4,1,50.0,0.75
267196290,28.6172742,77.2120722,3,0,46.666666666666664,0.68
267196291,28.6173344,77.2121926,3,0,43.333333333333336,0.6166666666666667
267196295,28.6171987,77.2126653,3,0,50.0,0.75
267196296,28.6169761,77.2127407,3,0,50.0,0.75
267196303,28.6168184,77.2119747,3,0,50.0,0.75
267196304,28.6170544,77.2119284,3,0,46.666666666666664,0.7000000000000001
267196305,28.6176108,77.2137403,2,0,50.0,0.75
267196308,28.6168995,77.2139674,2,0,50.0,0.75
267196314,28.6183027,77.218738,3,0,40.0,0.55
267196319,28.6164349,77.222762,3,0,40.0,0.55
267196320,28.621292,77.2218894,4,0,36.666666666666664,0.48333333333333334
267196323,28.6096378,77.2244897,3,0,46.666666666666664,0.7000000000000001
267196328,28.6101203,77.2248036,3,0,50.0,0.75
267196331,28.6096334,77.2246852,3,0,46.666666666666664,0.7000000000000001
267196336,28.6205552,77.2223059,4,0,30.0,0.35
267196337,28.6218801,77.2215891,4,0,30.0,0.35
267196340,28.6183265,77.2238626,1,0,30.0,0.35
267196344,28.613927,77.208773,4,0,46.666666666666664,0.7000000000000001
267196357,28.6138946,77.2091896,4,0,50.0,0.75
267197815,28.6197839,77.2275161,3,0,46.666666666666664,0.7000000000000001
267197828,28.6217774,77.231646,4,0,40.0,0.6
267197829,28.6228176,77.2317192,4,0,33.333333333333336,0.43333333333333335
267197830,28.6205269,77.2267514,3,0,40.0,0.55
267197831,28.6240167,77.2300608,3,0,30.0,0.35000000000000003
267197833,28.602232,77.2293855,3,0,35.0,0.475
267197834,28.6019451,77.2299629,3,0,36.666666666666664,0.5333333333333333
267197835,28.6015743,77.2303171,4,1,45.0,0.675
267197844,28.6044992,77.2250169,3,0,46.666666666666664,0.7000000000000001
267197860,28.6031436,77.2238708,3,0,50.0,0.75
267197863,28.6037685,77.2244183,3,0,50.0,0.75
267197867,28.6032696,77.2236113,3,0,50.0,0.75
267197868,28.603338,77.2235968,3,0,50.0,0.75
267197869,28.6035906,77.2236301,3,0,50.0,0.75
267197870,28.6038523,77.2238175,3,0,50.0,0.75
267197874,28.6039646,77.2243643,3,0,50.0,0.75
267197876,28.6062102,77.2181424,3,0,50.0,0.75
267197883,28.6073393,77.2172353,3,0,50.0,0.75
267197887,28.6077166,77.2179013,3,0,50.0,0.75
267197888,28.6076902,77.218301,3,0,50.0,0.75
267197891,28.6074875,77.2187784,3,0,50.0,0.75
267197893,28.6072353,77.2189358,3,0,50.0,0.75
267197897,28.606481,77.2186026,3,0,50.0,0.75
267197917,28.6102821,77.2122189,3,0,50.0,0.75
267197918,28.610651,77.2123089,3,0,50.0,0.75
267197925,28.6103493,77.2115712,3,0,50.0,0.75
267197930,28.6087861,77.2089983,3,0,50.0,0.75
267197931,28.6086818,77.2087481,3,0,50.0,0.75
267197934,28.6087691,77.2084105,3,0,46.666666666666664,0.7000000000000001
267197936,28.6090851,77.2082529,3,0,46.666666666666664,0.7000000000000001
267197937,28.6092028,77.2082807,3,0,50.0,0.75
267197938,28.609372,77.2084229,3,0,50.0,0.75
267197939,28.6094284,77.2085373,3,0,43.333333333333336,0.6333333333333333
267197941,28.6094325,77.2088364,3,0,43.333333333333336,0.6333333333333333
267197943,28.6093585,77.2089828,3,0,50.0,0.75
267197944,28.6090891,77.2091339,3,0,50.0,0.75
267197955,28.604052,77.2256163,3,0,36.666666666666664,0.5166666666666667
267197956,28.6061064,77.2271183,3,0,30.0,0.35000000000000003
267197957,28.6056919,77.2282042,3,0,30.0,0.35000000000000003
267197959,28.6080682,77.2307944,4,0,36.666666666666664,0.4833333333333334
267197960,28.6034687,77.2268182,3,0,36.666666666666664,0.5166666666666667
267197963,28.6042613,77.2291074,4,0,30.0,0.35
